x, sol1, sol2
0.00117988, 479.784, 57.5669
0.00118388, 479.782, 57.564
0.00118788, 479.781, 57.5611
0.00119188, 479.779, 57.5581
0.00119588, 479.777, 57.5552
0.00119988, 479.776, 57.5523
0.00120388, 479.774, 57.5494
0.00120788, 479.773, 57.5464
0.00121188, 479.771, 57.5435
0.00121588, 479.769, 57.5406
0.00121988, 479.768, 57.5376
0.00122388, 479.766, 57.5347
0.00122788, 479.765, 57.5318
0.00123188, 479.763, 57.5289
0.00123588, 479.762, 57.5259
0.00123988, 479.76, 57.523
0.00124388, 479.759, 57.5201
0.00124788, 479.757, 57.5172
0.00125187, 479.755, 57.5142
0.00125587, 479.754, 57.5113
0.00125987, 479.752, 57.5084
0.00126387, 479.751, 57.5055
0.00126787, 479.749, 57.5026
0.00127187, 479.748, 57.4996
0.00127587, 479.746, 57.4967
0.00127987, 479.745, 57.4938
0.00128387, 479.743, 57.4909
0.00128787, 479.742, 57.488
0.00129187, 479.74, 57.485
0.00129587, 479.739, 57.4821
0.00129987, 479.737, 57.4792
0.00130387, 479.736, 57.4763
0.00130787, 479.734, 57.4734
0.00131187, 479.733, 57.4704
0.00131587, 479.732, 57.4675
0.00131987, 479.73, 57.4646
0.00132387, 479.729, 57.4617
0.00132787, 479.727, 57.4588
0.00133187, 479.726, 57.4559
0.00133587, 479.724, 57.4529
0.00133987, 479.723, 57.45
0.00134387, 479.721, 57.4471
0.00134787, 479.72, 57.4442
0.00135186, 479.719, 57.4413
0.00135586, 479.717, 57.4384
0.00135986, 479.716, 57.4355
0.00136386, 479.714, 57.4325
0.00136786, 479.713, 57.4296
0.00137186, 479.712, 57.4267
0.00137586, 479.71, 57.4238
0.00137986, 479.709, 57.4209
0.00138386, 479.707, 57.418
0.00138786, 479.706, 57.4151
0.00139186, 479.705, 57.4122
0.00139586, 479.703, 57.4093
0.00139986, 479.702, 57.4064
0.00140386, 479.701, 57.4034
0.00140786, 479.699, 57.4005
0.00141186, 479.698, 57.3976
0.00141586, 479.697, 57.3947
0.00141986, 479.695, 57.3918
0.00142386, 479.694, 57.3889
0.00142786, 479.693, 57.386
0.00143186, 479.691, 57.3831
0.00143586, 479.69, 57.3802
0.00143986, 479.689, 57.3773
0.00144386, 479.687, 57.3744
0.00144786, 479.686, 57.3715
0.00145185, 479.685, 57.3686
0.00145585, 479.684, 57.3657
0.00145985, 479.682, 57.3628
0.00146385, 479.681, 57.3599
0.00146785, 479.68, 57.357
0.00147185, 479.678, 57.3541
0.00147585, 479.677, 57.3512
0.00147985, 479.676, 57.3483
0.00148385, 479.675, 57.3454
0.00148785, 479.673, 57.3425
0.00149185, 479.672, 57.3396
0.00149585, 479.671, 57.3367
0.00149985, 479.67, 57.3338
0.00150385, 479.668, 57.3309
0.00150785, 479.667, 57.328
0.00151185, 479.666, 57.3251
0.00151585, 479.665, 57.3222
0.00151985, 479.664, 57.3193
0.00152385, 479.662, 57.3164
0.00152785, 479.661, 57.3135
0.00153185, 479.66, 57.3106
0.00153585, 479.659, 57.3077
0.00153985, 479.658, 57.3048
0.00154385, 479.656, 57.3019
0.00154785, 479.655, 57.299
0.00155184, 479.654, 57.2961
0.00155584, 479.653, 57.2932
0.00155984, 479.652, 57.2903
0.00156384, 479.651, 57.2874
0.00156784, 479.649, 57.2845
0.00157184, 479.648, 57.2816
0.00157584, 479.647, 57.2788
0.00157984, 479.646, 57.2759
0.00158384, 479.645, 57.273
0.00158784, 479.644, 57.2701
0.00159184, 479.643, 57.2672
0.00159584, 479.641, 57.2643
0.00159984, 479.64, 57.2614
0.00160384, 479.639, 57.2585
